train Fold, test Fold, KMEANS-DISTORTION, KMEANS-ACC, KMEANS-PREC, KMEANS-RECALL, KMEANS-FSCORE, KMETROIDS-DISTORTION, KMETROIDS-ACC, KMETROIDS-PREC, KMETROIDS-RECALL, KMETROIDS-FSCORE
0,0,9.192413015498056E15,0.19230769230769232,0.02403846153846154,0.125,0.040322580645161296,1.1938236184075299E8,0.6923076923076923,0.6202651515151515,0.5291666666666667,0.5711058933377272
0,1,9.192413015498056E15,0.3333333333333333,0.041666666666666664,0.125,0.0625,1.1938236184075299E8,0.3333333333333333,0.125,0.125,0.125
0,2,9.192413015498056E15,0.058823529411764705,0.007352941176470588,0.125,0.013888888888888888,1.1938236184075299E8,0.6470588235294118,0.65625,0.5729166666666666,0.6117584745762713
0,3,9.192413015498056E15,0.2777777777777778,0.034722222222222224,0.125,0.05434782608695653,1.1938236184075299E8,0.5,0.4375,0.39166666666666666,0.4133165829145729
0,4,9.192413015498056E15,0.058823529411764705,0.007352941176470588,0.125,0.013888888888888888,1.1938236184075299E8,0.5882352941176471,0.4166666666666667,0.46875,0.4411764705882353
0,5,9.192413015498056E15,0.08,0.01,0.125,0.018518518518518517,1.1938236184075299E8,0.56,0.528125,0.48437499999999994,0.5053047839506172
0,6,9.192413015498056E15,0.16666666666666666,0.020833333333333332,0.125,0.03571428571428571,1.1938236184075299E8,0.4583333333333333,0.4602272727272727,0.41041666666666665,0.43389710680878835
0,7,9.192413015498056E15,0.09523809523809523,0.011904761904761904,0.125,0.021739130434782605,1.1938236184075299E8,0.7142857142857143,0.6041666666666666,0.6041666666666666,0.6041666666666666
0,8,9.192413015498056E15,0.20833333333333334,0.026041666666666668,0.125,0.04310344827586207,1.1938236184075299E8,0.5833333333333334,0.71875,0.5666666666666667,0.6337115072933549
0,9,9.192413015498056E15,0.045454545454545456,0.005681818181818182,0.125,0.010869565217391306,1.1938236184075299E8,0.8636363636363636,0.6964285714285714,0.7083333333333333,0.7023305084745762
1,0,8.747825958374247E9,0.19230769230769232,0.02403846153846154,0.125,0.040322580645161296,1.7845494026817684E9,0.11538461538461539,0.014423076923076924,0.125,0.02586206896551724
1,1,8.747825958374247E9,0.3333333333333333,0.041666666666666664,0.125,0.0625,1.7845494026817684E9,0.3333333333333333,0.041666666666666664,0.125,0.0625
1,2,8.747825958374247E9,0.058823529411764705,0.007352941176470588,0.125,0.013888888888888888,1.7845494026817684E9,0.23529411764705882,0.029411764705882353,0.125,0.047619047619047616
1,3,8.747825958374247E9,0.2777777777777778,0.034722222222222224,0.125,0.05434782608695653,1.7845494026817684E9,0.2777777777777778,0.034722222222222224,0.125,0.05434782608695653
1,4,8.747825958374247E9,0.058823529411764705,0.007352941176470588,0.125,0.013888888888888888,1.7845494026817684E9,0.058823529411764705,0.007352941176470588,0.125,0.013888888888888888
