train Fold, test Fold, KMEANS-DISTORTION, KMEANS-ACC, KMEANS-PREC, KMEANS-RECALL, KMEANS-FSCORE, KMETROIDS-DISTORTION, KMETROIDS-ACC, KMETROIDS-PREC, KMETROIDS-RECALL, KMETROIDS-FSCORE
0,0,2.131384416064198E13,0.16129032258064516,0.0055617352614015575,0.034482758620689655,0.009578544061302681,0.08635192806506242,0.3573200992555831,0.13673061978134834,0.1216414617009253,0.12874543065224914
0,1,2.131384416064198E13,0.17901234567901234,0.006172839506172839,0.034482758620689655,0.010471204188481674,0.08635192806506242,0.22839506172839505,0.05124046414107267,0.06001220341291685,0.05528052899071458
0,2,2.131384416064198E13,0.15825688073394495,0.005457133818411895,0.034482758620689655,0.009423011266643905,0.08635192806506242,0.21100917431192662,0.0572210758018458,0.061081663483906104,0.059088378129150826
0,3,2.131384416064198E13,0.170316301703163,0.0058729759207987245,0.034482758620689655,0.010036561760699692,0.08635192806506242,0.24330900243309003,0.060690114604986446,0.06552452157245138,0.0630147317951047
0,4,2.131384416064198E13,0.14757709251101322,0.005088865259000456,0.034482758620689655,0.008868886094380832,0.08635192806506242,0.2511013215859031,0.07114852453888613,0.07289873012391004,0.07201299464146235
0,5,2.131384416064198E13,0.16166281755196305,0.005574579915584932,0.034482758620689655,0.009597586892438472,0.08635192806506242,0.21478060046189376,0.05311502761335435,0.05980173716769101,0.05626039547179206
0,6,2.131384416064198E13,0.15566037735849056,0.005367599219258295,0.034482758620689655,0.009289232934553132,0.08635192806506242,0.23349056603773585,0.059971357659141675,0.0662429465278041,0.06295133446570515
0,7,2.131384416064198E13,0.18204488778054864,0.0062774099234671945,0.034482758620689655,0.010621271642659682,0.08635192806506242,0.16708229426433915,0.03528137795533509,0.04226430375524177,0.038458437450409014
0,8,2.131384416064198E13,0.1813953488372093,0.006255012028869287,0.034482758620689655,0.01058919359218029,0.08635192806506242,0.2302325581395349,0.05126753500402497,0.05806630812152361,0.05445553543300044
0,9,2.131384416064198E13,0.17091836734693877,0.0058937368050668544,0.034482758620689655,0.01006686199383968,0.08635192806506242,0.2066326530612245,0.047171553112332724,0.058301138857815266,0.052149143380531074
1,0,2.5705524974569418E11,0.1662531017369727,0.005732865577136989,0.034482758620689655,0.009831254585473221,0.17514445357312491,0.1935483870967742,0.0595064411636665,0.06417773054500454,0.0617538734978846
1,1,2.5705524974569418E11,0.24691358024691357,0.008514261387824606,0.034482758620689655,0.013656538067599863,0.17514445357312491,0.3148148148148148,0.1354352646756205,0.12160096146421949,0.12814581545993087
1,2,2.5705524974569418E11,0.12614678899082568,0.004349889275545713,0.034482758620689655,0.00772526160544982,0.17514445357312491,0.19724770642201836,0.06785345682745095,0.07409849745502246,0.07083860484285182
1,3,2.5705524974569418E11,0.15571776155717762,0.005369577984730263,0.034482758620689655,0.009292196007259529,0.17514445357312491,0.20924574209245742,0.05649669936127714,0.07295487329199746,0.06367955921798969
1,4,2.5705524974569418E11,0.13876651982378854,0.004785052407716846,0.034482758620689655,0.00840392183018742,0.17514445357312491,0.21145374449339208,0.07524823543646178,0.0691165826694263,0.07205219323530655
1,5,2.5705524974569418E11,0.14087759815242495,0.004857848212152584,0.034482758620689655,0.008515984922518498,0.17514445357312491,0.18937644341801385,0.06363015159120579,0.07130503212193792,0.06724932487260185
1,6,2.5705524974569418E11,0.15330188679245282,0.005286271958360443,0.034482758620689655,0.009167195543332628,0.17514445357312491,0.20754716981132076,0.04384948061490072,0.06478636306222514,0.05230038769984946
1,7,2.5705524974569418E11,0.1745635910224439,0.006019434173187721,0.034482758620689655,0.010249652243941724,0.17514445357312491,0.22194513715710723,0.09843899332706332,0.07534668824478138,0.08535861037870457
1,8,2.5705524974569418E11,0.1325581395348837,0.004570970328789094,0.034482758620689655,0.008071939389648092,0.17514445357312491,0.2255813953488372,0.07777882848881192,0.0773813993485469,0.07757960492896042
1,9,2.5705524974569418E11,0.14030612244897958,0.004838142153413089,0.034482758620689655,0.008485690040885596,0.17514445357312491,0.2066326530612245,0.08085255794156775,0.0706901846872832,0.07543062972440315
2,0,2.4854131898122395E13,0.009925558312655087,3.4226063147086507E-4,0.034482758620689655,6.777937812420572E-4,0.02760500321493751,0.21588089330024815,0.08587423389228144,0.07926279786165152,0.08243616795378156
2,1,2.4854131898122395E13,0.006172839506172839,2.1285653469561513E-4,0.034482758620689655,4.2310133276919816E-4,0.02760500321493751,0.1728395061728395,0.08123249299719887,0.048326950496986175,0.06060104245505812
2,2,2.4854131898122395E13,0.020642201834862386,7.118000632711168E-4,0.034482758620689655,0.001394808213870593,0.02760500321493751,0.286697247706422,0.15409633469978296,0.1050998505164809,0.12496713042726196
2,3,2.4854131898122395E13,0.021897810218978103,7.550969041026932E-4,0.034482758620689655,0.001477832512315271,0.02760500321493751,0.21654501216545013,0.08213383478640758,0.06916151575151697,0.07509154099072879
2,4,2.4854131898122395E13,0.019823788546255508,6.83578915388121E-4,0.034482758620689655,0.0013405824085797274,0.02760500321493751,0.23127753303964757,0.07564890556179622,0.0710228202061899,0.07326290858552381
2,5,2.4854131898122395E13,0.011547344110854504,3.981842796846381E-4,0.034482758620689655,7.872775940796725E-4,0.02760500321493751,0.19399538106235567,0.061723013896007366,0.06010793652702774,0.06090476990675414
2,6,2.4854131898122395E13,0.009433962264150943,3.253090435914118E-4,0.034482758620689655,6.445375443119561E-4,0.02760500321493751,0.21226415094339623,0.07136590926210334,0.06357598898828283,0.06724610102886693
2,7,2.4854131898122395E13,0.00997506234413965,3.439676670392983E-4,0.034482758620689655,6.811409110259684E-4,0.02760500321493751,0.2144638403990025,0.08462042277291919,0.06270281441545394,0.07203125272224677
2,8,2.4854131898122395E13,0.009302325581395349,3.2076984763432237E-4,0.034482758620689655,6.356268870173208E-4,0.02760500321493751,0.2116279069767442,0.06808155455311299,0.05937790868886873,0.06343256478298859
2,9,2.4854131898122395E13,0.02040816326530612,7.037297677691766E-4,0.034482758620689655,0.0013793103448275863,0.02760500321493751,0.20153061224489796,0.0725891829127881,0.05904350342261809,0.0651193831725888
