train Fold, KMEANS-DISTORTION, KMETROIDS-DISTORTION
0,1.0664734633456417E22,1.9087300653897148E16
1,3.6919900487886947E21,1.664334267089187E15
2,3.2455226963611374E23,1.12945911356844403E18
3,1.5621466447726844E23,6.446136644249022E15
4,1.691965884076877E23,1.6082908087744164E16
5,3.9529251828956804E22,7.625403314912355E15
6,1.2514747170355514E23,2.490200098845953E15
7,3.0678944293945677E23,9.6075408077520416E16
8,2.9796814604650676E22,1.4677751215960472E16
9,8.59053768247252E21,6.8153790314419632E16
